date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-08-17,0,0,0,2022-08-15 21:00:00+0000,2022-08-15 21:00:00+0000,0,
2022-08-18,0,0,0,2022-08-16 21:00:00+0000,2022-08-16 21:00:00+0000,0,
2022-08-19,0,0,0,2022-08-17 21:00:00+0000,2022-08-17 21:00:00+0000,0,
2022-08-20,0,0,0,2022-08-18 21:00:00+0000,2022-08-18 21:00:00+0000,0,
2022-08-21,0,0,0,2022-08-19 21:00:00+0000,2022-08-19 21:00:00+0000,0,
2022-08-22,0,0,0,2022-08-20 21:00:00+0000,2022-08-20 21:00:00+0000,0,
2022-08-23,0,0,0,2022-08-21 21:00:00+0000,2022-08-21 21:00:00+0000,0,
2022-08-24,0,0,0,2022-08-22 21:00:00+0000,2022-08-22 21:00:00+0000,0,
2022-08-25,0,0,0,2022-08-23 21:00:00+0000,2022-08-23 21:00:00+0000,0,
2022-08-26,0,0,0,2022-08-24 21:00:00+0000,2022-08-24 21:00:00+0000,0,
2022-08-27,0,0,0,2022-08-25 21:00:00+0000,2022-08-25 21:00:00+0000,0,
2022-08-28,0,0,0,2022-08-26 21:00:00+0000,2022-08-26 21:00:00+0000,0,
2022-08-29,0,0,0,2022-08-27 21:00:00+0000,2022-08-27 21:00:00+0000,0,
2022-08-30,0,0,0,2022-08-28 21:00:00+0000,2022-08-28 21:00:00+0000,0,
2022-08-31,0,0,0,2022-08-29 21:00:00+0000,2022-08-29 21:00:00+0000,0,
2022-09-01,0,0,0,2022-08-30 21:00:00+0000,2022-08-30 21:00:00+0000,0,
2022-09-02,0,0,0,2022-08-31 21:00:00+0000,2022-08-31 21:00:00+0000,0,
2022-09-03,0,0,0,2022-09-01 21:00:00+0000,2022-09-01 21:00:00+0000,0,
2022-09-04,0,0,0,2022-09-02 21:00:00+0000,2022-09-02 21:00:00+0000,0,
2022-09-05,0,0,0,2022-09-03 21:00:00+0000,2022-09-03 21:00:00+0000,0,
2022-09-06,0,0,0,2022-09-04 21:00:00+0000,2022-09-04 21:00:00+0000,0,
2022-09-07,0,0,0,2022-09-05 21:00:00+0000,2022-09-05 21:00:00+0000,0,
2022-09-08,0,0,0,2022-09-06 21:00:00+0000,2022-09-06 21:00:00+0000,0,
2022-09-09,0,0,0,2022-09-07 21:00:00+0000,2022-09-07 21:00:00+0000,0,
2022-09-10,0,0,0,2022-09-08 21:00:00+0000,2022-09-08 21:00:00+0000,0,
2022-09-11,0,0,0,2022-09-09 21:00:00+0000,2022-09-09 21:00:00+0000,0,
2022-09-12,0,0,0,2022-09-10 21:00:00+0000,2022-09-10 21:00:00+0000,0,
