date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2021-02-03,0,0,0,2021-02-01 21:00:00+0000,2021-02-01 21:00:00+0000,0,
2021-02-04,128,292,3,2021-02-03 23:12:00+0000,2021-02-04 06:15:00+0000,0,
2021-02-05,0,0,0,2021-02-03 21:00:00+0000,2021-02-03 21:00:00+0000,0,
2021-02-06,0,0,0,2021-02-04 21:00:00+0000,2021-02-04 21:00:00+0000,0,
2021-02-07,0,121,0,2021-02-06 20:17:00+0000,2021-02-06 22:18:00+0000,0,
2021-02-08,133,252,0,2021-02-08 00:14:00+0000,2021-02-08 06:39:00+0000,0,
2021-02-09,0,0,0,2021-02-07 21:00:00+0000,2021-02-07 21:00:00+0000,0,
2021-02-10,0,0,0,2021-02-08 21:00:00+0000,2021-02-08 21:00:00+0000,0,
2021-02-11,0,0,0,2021-02-09 21:00:00+0000,2021-02-09 21:00:00+0000,0,
2021-02-12,106,175,0,2021-02-12 01:10:00+0000,2021-02-12 05:51:00+0000,0,
2021-02-13,0,0,0,2021-02-11 21:00:00+0000,2021-02-11 21:00:00+0000,0,
2021-02-14,0,0,0,2021-02-12 21:00:00+0000,2021-02-12 21:00:00+0000,0,
2021-02-15,0,0,0,2021-02-13 21:00:00+0000,2021-02-13 21:00:00+0000,0,
2021-02-16,0,0,0,2021-02-14 21:00:00+0000,2021-02-14 21:00:00+0000,0,
2021-02-17,0,0,0,2021-02-15 21:00:00+0000,2021-02-15 21:00:00+0000,0,
2021-02-18,16,92,0,2021-02-17 21:07:00+0000,2021-02-17 22:55:00+0000,0,
2021-02-19,225,286,3,2021-02-18 21:12:00+0000,2021-02-19 05:46:00+0000,0,
2021-02-20,128,206,2,2021-02-19 23:25:00+0000,2021-02-20 05:01:00+0000,0,
2021-02-21,137,292,2,2021-02-20 22:10:00+0000,2021-02-21 05:21:00+0000,0,
2021-02-22,104,266,0,2021-02-21 23:00:00+0000,2021-02-22 05:10:00+0000,0,
2021-02-23,151,365,0,2021-02-22 18:58:00+0000,2021-02-23 03:34:00+0000,0,
2021-02-24,124,347,0,2021-02-23 21:04:00+0000,2021-02-24 04:55:00+0000,0,
2021-02-25,153,282,0,2021-02-24 21:26:00+0000,2021-02-25 04:41:00+0000,0,
2021-02-26,140,272,0,2021-02-25 21:53:00+0000,2021-02-26 04:45:00+0000,0,
2021-02-27,127,297,3,2021-02-26 21:40:00+0000,2021-02-27 04:47:00+0000,0,
2021-02-28,0,0,0,2021-02-26 21:00:00+0000,2021-02-26 21:00:00+0000,0,
2021-03-01,0,0,0,2021-02-27 21:00:00+0000,2021-02-27 21:00:00+0000,0,
2021-03-02,131,238,2,2021-03-01 22:44:00+0000,2021-03-02 04:55:00+0000,0,
2021-03-03,130,254,3,2021-03-02 21:23:00+0000,2021-03-03 03:50:00+0000,0,
2021-03-04,0,0,0,2021-03-02 21:00:00+0000,2021-03-02 21:00:00+0000,0,
2021-03-05,123,345,6,2021-03-04 21:04:00+0000,2021-03-05 04:58:00+0000,0,
2021-03-06,118,219,0,2021-03-05 23:36:00+0000,2021-03-06 05:13:00+0000,0,
2021-03-07,0,0,0,2021-03-05 21:00:00+0000,2021-03-05 21:00:00+0000,0,
2021-03-08,128,159,2,2021-03-08 00:10:00+0000,2021-03-08 04:59:00+0000,0,
2021-03-09,143,286,3,2021-03-08 21:13:00+0000,2021-03-09 04:25:00+0000,0,
2021-03-10,130,254,3,2021-03-09 22:06:00+0000,2021-03-10 04:33:00+0000,0,
2021-03-11,107,348,3,2021-03-10 20:51:00+0000,2021-03-11 04:29:00+0000,0,
2021-03-12,81,340,0,2021-03-11 22:33:00+0000,2021-03-12 05:34:00+0000,0,
2021-03-13,104,327,6,2021-03-12 21:21:00+0000,2021-03-13 04:38:00+0000,0,
2021-03-14,112,189,0,2021-03-13 23:11:00+0000,2021-03-14 04:12:00+0000,0,
2021-03-15,130,316,3,2021-03-14 21:57:00+0000,2021-03-15 05:26:00+0000,0,
2021-03-16,91,197,3,2021-03-16 00:30:00+0000,2021-03-16 05:21:00+0000,0,
2021-03-17,159,236,0,2021-03-16 20:31:00+0000,2021-03-17 03:06:00+0000,0,
2021-03-18,92,259,2,2021-03-17 22:31:00+0000,2021-03-18 04:24:00+0000,0,
2021-03-19,0,0,0,2021-03-17 21:00:00+0000,2021-03-17 21:00:00+0000,0,
2021-03-20,140,281,0,2021-03-19 20:55:00+0000,2021-03-20 03:56:00+0000,0,
2021-03-21,206,319,3,2021-03-20 19:50:00+0000,2021-03-21 04:38:00+0000,0,
2021-03-22,136,296,0,2021-03-21 20:41:00+0000,2021-03-22 03:53:00+0000,0,
2021-03-23,152,237,2,2021-03-22 21:01:00+0000,2021-03-23 03:32:00+0000,0,
2021-03-24,147,345,2,2021-03-23 19:21:00+0000,2021-03-24 03:35:00+0000,0,
2021-03-25,150,275,0,2021-03-24 20:41:00+0000,2021-03-25 03:46:00+0000,0,
2021-03-26,132,207,0,2021-03-25 22:55:00+0000,2021-03-26 04:34:00+0000,0,
2021-03-27,151,332,2,2021-03-26 20:52:00+0000,2021-03-27 04:57:00+0000,0,
2021-03-28,112,254,0,2021-03-27 23:01:00+0000,2021-03-28 05:07:00+0000,0,
2021-03-29,118,306,0,2021-03-28 21:06:00+0000,2021-03-29 04:10:00+0000,0,
2021-03-30,102,293,0,2021-03-29 21:28:00+0000,2021-03-30 04:03:00+0000,0,
2021-03-31,142,265,2,2021-03-30 21:49:00+0000,2021-03-31 04:38:00+0000,0,
2021-04-01,52,210,0,2021-03-31 23:57:00+0000,2021-04-01 04:19:00+0000,0,
2021-04-02,133,233,2,2021-04-01 22:30:00+0000,2021-04-02 04:38:00+0000,0,
2021-04-03,187,414,4,2021-04-02 18:38:00+0000,2021-04-03 04:43:00+0000,0,
2021-04-04,120,303,2,2021-04-03 22:11:00+0000,2021-04-04 05:16:00+0000,0,
2021-04-05,114,308,2,2021-04-04 22:15:00+0000,2021-04-05 05:19:00+0000,0,
2021-04-06,79,238,2,2021-04-06 00:31:00+0000,2021-04-06 05:50:00+0000,0,
2021-04-07,159,251,4,2021-04-06 22:47:00+0000,2021-04-07 05:41:00+0000,0,
2021-04-08,134,290,0,2021-04-07 23:06:00+0000,2021-04-08 06:10:00+0000,0,
2021-04-09,102,364,0,2021-04-08 22:09:00+0000,2021-04-09 05:55:00+0000,0,
2021-04-10,103,276,2,2021-04-10 00:04:00+0000,2021-04-10 06:25:00+0000,0,
2021-04-11,0,0,0,2021-04-09 21:00:00+0000,2021-04-09 21:00:00+0000,0,
2021-04-12,0,0,0,2021-04-10 21:00:00+0000,2021-04-10 21:00:00+0000,0,
2021-04-13,0,0,0,2021-04-11 21:00:00+0000,2021-04-11 21:00:00+0000,0,
2021-04-14,149,269,0,2021-04-13 23:32:00+0000,2021-04-14 06:30:00+0000,0,
2021-04-15,128,259,0,2021-04-14 23:27:00+0000,2021-04-15 05:54:00+0000,0,
2021-04-16,103,191,0,2021-04-16 00:48:00+0000,2021-04-16 05:42:00+0000,0,
2021-04-17,158,320,2,2021-04-16 23:17:00+0000,2021-04-17 07:17:00+0000,0,
2021-04-18,92,290,0,2021-04-17 23:33:00+0000,2021-04-18 05:55:00+0000,0,
2021-04-19,129,260,0,2021-04-18 23:41:00+0000,2021-04-19 06:10:00+0000,0,
2021-04-20,123,326,2,2021-04-19 22:36:00+0000,2021-04-20 06:07:00+0000,0,
2021-04-21,82,345,0,2021-04-20 22:50:00+0000,2021-04-21 05:57:00+0000,0,
2021-04-22,97,178,0,2021-04-22 00:30:00+0000,2021-04-22 05:05:00+0000,0,
2021-04-23,149,320,3,2021-04-22 22:46:00+0000,2021-04-23 06:38:00+0000,0,
2021-04-24,116,292,4,2021-04-23 23:25:00+0000,2021-04-24 06:17:00+0000,0,
2021-04-25,169,259,2,2021-04-24 23:50:00+0000,2021-04-25 07:00:00+0000,0,
2021-04-26,0,0,0,2021-04-24 21:00:00+0000,2021-04-24 21:00:00+0000,0,
2021-04-27,86,180,0,2021-04-27 01:44:00+0000,2021-04-27 06:10:00+0000,0,
2021-04-28,139,185,0,2021-04-27 23:49:00+0000,2021-04-28 05:13:00+0000,0,
2021-04-29,0,0,0,2021-04-27 21:00:00+0000,2021-04-27 21:00:00+0000,0,
2021-04-30,126,376,0,2021-04-29 21:58:00+0000,2021-04-30 06:20:00+0000,0,
2021-05-01,134,300,2,2021-04-30 21:54:00+0000,2021-05-01 05:10:00+0000,0,
2021-05-02,131,240,3,2021-05-01 23:44:00+0000,2021-05-02 05:58:00+0000,0,
2021-05-03,163,243,2,2021-05-02 22:12:00+0000,2021-05-03 05:00:00+0000,0,
2021-05-04,128,284,5,2021-05-03 22:29:00+0000,2021-05-04 05:26:00+0000,0,
2021-05-05,98,241,0,2021-05-04 23:51:00+0000,2021-05-05 05:30:00+0000,0,
2021-05-06,127,229,2,2021-05-05 23:02:00+0000,2021-05-06 05:00:00+0000,0,
2021-05-07,88,213,0,2021-05-07 00:07:00+0000,2021-05-07 05:08:00+0000,0,
2021-05-08,141,319,3,2021-05-07 21:59:00+0000,2021-05-08 05:42:00+0000,0,
2021-05-09,114,139,0,2021-05-08 23:05:00+0000,2021-05-09 03:18:00+0000,0,
2021-05-10,147,284,2,2021-05-09 21:47:00+0000,2021-05-10 05:00:00+0000,0,
2021-05-11,79,260,0,2021-05-10 22:53:00+0000,2021-05-11 04:32:00+0000,0,
2021-05-12,144,275,2,2021-05-11 21:19:00+0000,2021-05-12 04:20:00+0000,0,
2021-05-13,117,297,0,2021-05-12 21:44:00+0000,2021-05-13 04:38:00+0000,0,
2021-05-14,221,311,4,2021-05-13 19:27:00+0000,2021-05-14 04:23:00+0000,0,
2021-05-15,174,219,0,2021-05-14 21:39:00+0000,2021-05-15 04:12:00+0000,0,
2021-05-16,133,318,3,2021-05-15 20:46:00+0000,2021-05-16 04:20:00+0000,0,
2021-05-17,94,240,0,2021-05-16 21:55:00+0000,2021-05-17 03:29:00+0000,0,
2021-05-18,90,271,0,2021-05-17 22:11:00+0000,2021-05-18 04:12:00+0000,0,
2021-05-19,139,285,2,2021-05-18 20:48:00+0000,2021-05-19 03:54:00+0000,0,
2021-05-20,59,224,5,2021-05-19 22:58:00+0000,2021-05-20 03:46:00+0000,0,
2021-05-21,133,255,4,2021-05-20 21:22:00+0000,2021-05-21 03:54:00+0000,0,
2021-05-22,133,347,0,2021-05-21 19:35:00+0000,2021-05-22 03:35:00+0000,0,
2021-05-23,110,279,2,2021-05-22 21:35:00+0000,2021-05-23 04:06:00+0000,0,
2021-05-24,146,303,2,2021-05-23 21:13:00+0000,2021-05-24 04:44:00+0000,0,
2021-05-25,65,166,3,2021-05-24 23:26:00+0000,2021-05-25 03:20:00+0000,0,
2021-05-26,0,0,0,2021-05-24 21:00:00+0000,2021-05-24 21:00:00+0000,0,
2021-05-27,0,0,0,2021-05-25 21:00:00+0000,2021-05-25 21:00:00+0000,0,
2021-05-28,112,287,5,2021-05-27 22:02:00+0000,2021-05-28 04:46:00+0000,0,
2021-05-29,129,263,0,2021-05-28 22:14:00+0000,2021-05-29 04:46:00+0000,0,
2021-05-30,0,0,0,2021-05-28 21:00:00+0000,2021-05-28 21:00:00+0000,0,
2021-05-31,0,0,0,2021-05-29 21:00:00+0000,2021-05-29 21:00:00+0000,0,
2021-06-01,0,0,0,2021-05-30 21:00:00+0000,2021-05-30 21:00:00+0000,0,
2021-06-02,72,151,0,2021-06-02 01:27:00+0000,2021-06-02 05:10:00+0000,0,
2021-06-03,120,358,5,2021-06-02 21:16:00+0000,2021-06-03 05:19:00+0000,0,
2021-06-04,27,205,0,2021-06-03 19:46:00+0000,2021-06-03 23:38:00+0000,0,
2021-06-05,0,0,0,2021-06-03 21:00:00+0000,2021-06-03 21:00:00+0000,0,
2021-06-06,126,390,3,2021-06-05 21:54:00+0000,2021-06-06 06:33:00+0000,0,
2021-06-07,168,265,0,2021-06-06 22:19:00+0000,2021-06-07 05:32:00+0000,0,
2021-06-08,0,0,0,2021-06-06 21:00:00+0000,2021-06-06 21:00:00+0000,0,
2021-06-09,125,298,0,2021-06-08 22:45:00+0000,2021-06-09 05:48:00+0000,0,
2021-06-10,0,0,0,2021-06-08 21:00:00+0000,2021-06-08 21:00:00+0000,0,
2021-06-11,0,0,0,2021-06-09 21:00:00+0000,2021-06-09 21:00:00+0000,0,
2021-06-12,0,0,0,2021-06-10 21:00:00+0000,2021-06-10 21:00:00+0000,0,
2021-06-13,104,322,3,2021-06-12 22:17:00+0000,2021-06-13 05:26:00+0000,0,
2021-06-14,0,0,0,2021-06-12 21:00:00+0000,2021-06-12 21:00:00+0000,0,
2021-06-15,0,0,0,2021-06-13 21:00:00+0000,2021-06-13 21:00:00+0000,0,
2021-06-16,0,0,0,2021-06-14 21:00:00+0000,2021-06-14 21:00:00+0000,0,
2021-06-17,147,282,0,2021-06-16 22:01:00+0000,2021-06-17 05:10:00+0000,0,
2021-06-18,109,210,0,2021-06-17 23:13:00+0000,2021-06-18 04:32:00+0000,0,
2021-06-19,0,0,0,2021-06-17 21:00:00+0000,2021-06-17 21:00:00+0000,0,
2021-06-20,0,0,0,2021-06-18 21:00:00+0000,2021-06-18 21:00:00+0000,0,
2021-06-21,64,270,2,2021-06-20 23:10:00+0000,2021-06-21 04:46:00+0000,0,
2021-06-22,140,198,2,2021-06-21 22:20:00+0000,2021-06-22 04:00:00+0000,0,
2021-06-23,93,193,3,2021-06-22 23:41:00+0000,2021-06-23 04:30:00+0000,0,
2021-06-24,0,0,0,2021-06-22 21:00:00+0000,2021-06-22 21:00:00+0000,0,
2021-06-25,0,0,0,2021-06-23 21:00:00+0000,2021-06-23 21:00:00+0000,0,
2021-06-26,113,392,89,2021-06-25 20:54:00+0000,2021-06-26 06:48:00+0000,0,
2021-06-27,86,297,8,2021-06-26 21:33:00+0000,2021-06-27 04:04:00+0000,0,
2021-06-28,0,0,0,2021-06-26 21:00:00+0000,2021-06-26 21:00:00+0000,0,
2021-06-29,0,0,0,2021-06-27 21:00:00+0000,2021-06-27 21:00:00+0000,0,
2021-06-30,0,0,0,2021-06-28 21:00:00+0000,2021-06-28 21:00:00+0000,0,
2021-07-01,0,0,0,2021-06-29 21:00:00+0000,2021-06-29 21:00:00+0000,0,
2021-07-02,0,0,0,2021-06-30 21:00:00+0000,2021-06-30 21:00:00+0000,0,
2021-07-03,0,0,0,2021-07-01 21:00:00+0000,2021-07-01 21:00:00+0000,0,
2021-07-04,0,0,0,2021-07-02 21:00:00+0000,2021-07-02 21:00:00+0000,0,
2021-07-05,0,0,0,2021-07-03 21:00:00+0000,2021-07-03 21:00:00+0000,0,
2021-07-06,0,0,0,2021-07-04 21:00:00+0000,2021-07-04 21:00:00+0000,0,
2021-07-07,0,0,0,2021-07-05 21:00:00+0000,2021-07-05 21:00:00+0000,0,
2021-07-08,105,306,2,2021-07-07 20:47:00+0000,2021-07-08 03:40:00+0000,0,
2021-07-09,0,0,0,2021-07-07 21:00:00+0000,2021-07-07 21:00:00+0000,0,
2021-07-10,0,0,0,2021-07-08 21:00:00+0000,2021-07-08 21:00:00+0000,0,
2021-07-11,0,0,0,2021-07-09 21:00:00+0000,2021-07-09 21:00:00+0000,0,
2021-07-12,0,0,0,2021-07-10 21:00:00+0000,2021-07-10 21:00:00+0000,0,
2021-07-13,0,0,0,2021-07-11 21:00:00+0000,2021-07-11 21:00:00+0000,0,
2021-07-14,0,0,0,2021-07-12 21:00:00+0000,2021-07-12 21:00:00+0000,0,
2021-07-15,0,0,0,2021-07-13 21:00:00+0000,2021-07-13 21:00:00+0000,0,
2021-07-16,0,0,0,2021-07-14 21:00:00+0000,2021-07-14 21:00:00+0000,0,
2021-07-17,0,0,0,2021-07-15 21:00:00+0000,2021-07-15 21:00:00+0000,0,
2021-07-18,0,0,0,2021-07-16 21:00:00+0000,2021-07-16 21:00:00+0000,0,
2021-07-19,0,0,0,2021-07-17 21:00:00+0000,2021-07-17 21:00:00+0000,0,
2021-07-20,0,0,0,2021-07-18 21:00:00+0000,2021-07-18 21:00:00+0000,0,
2021-07-21,0,0,0,2021-07-19 21:00:00+0000,2021-07-19 21:00:00+0000,0,
2021-07-22,0,0,0,2021-07-20 21:00:00+0000,2021-07-20 21:00:00+0000,0,
2021-07-23,0,0,0,2021-07-21 21:00:00+0000,2021-07-21 21:00:00+0000,0,
2021-07-24,0,0,0,2021-07-22 21:00:00+0000,2021-07-22 21:00:00+0000,0,
2021-07-25,0,0,0,2021-07-23 21:00:00+0000,2021-07-23 21:00:00+0000,0,
2021-07-26,0,0,0,2021-07-24 21:00:00+0000,2021-07-24 21:00:00+0000,0,
2021-07-27,0,0,0,2021-07-25 21:00:00+0000,2021-07-25 21:00:00+0000,0,
2021-07-28,0,0,0,2021-07-26 21:00:00+0000,2021-07-26 21:00:00+0000,0,
2021-07-29,0,0,0,2021-07-27 21:00:00+0000,2021-07-27 21:00:00+0000,0,
2021-07-30,0,0,0,2021-07-28 21:00:00+0000,2021-07-28 21:00:00+0000,0,
2021-07-31,0,0,0,2021-07-29 21:00:00+0000,2021-07-29 21:00:00+0000,0,
2021-08-01,0,0,0,2021-07-30 21:00:00+0000,2021-07-30 21:00:00+0000,0,
2021-08-02,0,0,0,2021-07-31 21:00:00+0000,2021-07-31 21:00:00+0000,0,
2021-08-03,0,0,0,2021-08-01 21:00:00+0000,2021-08-01 21:00:00+0000,0,
2021-08-04,0,0,0,2021-08-02 21:00:00+0000,2021-08-02 21:00:00+0000,0,
2021-08-05,0,0,0,2021-08-03 21:00:00+0000,2021-08-03 21:00:00+0000,0,
2021-08-06,0,0,0,2021-08-04 21:00:00+0000,2021-08-04 21:00:00+0000,0,
2021-08-07,0,0,0,2021-08-05 21:00:00+0000,2021-08-05 21:00:00+0000,0,
2021-08-08,0,0,0,2021-08-06 21:00:00+0000,2021-08-06 21:00:00+0000,0,
2021-08-09,0,0,0,2021-08-07 21:00:00+0000,2021-08-07 21:00:00+0000,0,
2021-08-10,0,0,0,2021-08-08 21:00:00+0000,2021-08-08 21:00:00+0000,0,
2021-08-11,0,0,0,2021-08-09 21:00:00+0000,2021-08-09 21:00:00+0000,0,
2021-08-12,0,0,0,2021-08-10 21:00:00+0000,2021-08-10 21:00:00+0000,0,
2021-08-13,0,0,0,2021-08-11 21:00:00+0000,2021-08-11 21:00:00+0000,0,
2021-08-14,0,0,0,2021-08-12 21:00:00+0000,2021-08-12 21:00:00+0000,0,
2021-08-15,0,0,0,2021-08-13 21:00:00+0000,2021-08-13 21:00:00+0000,0,
2021-08-16,0,0,0,2021-08-14 21:00:00+0000,2021-08-14 21:00:00+0000,0,
2021-08-17,0,0,0,2021-08-15 21:00:00+0000,2021-08-15 21:00:00+0000,0,
2021-08-18,0,0,0,2021-08-16 21:00:00+0000,2021-08-16 21:00:00+0000,0,
2021-08-19,0,0,0,2021-08-17 21:00:00+0000,2021-08-17 21:00:00+0000,0,
2021-08-20,0,0,0,2021-08-18 21:00:00+0000,2021-08-18 21:00:00+0000,0,
2021-08-21,0,0,0,2021-08-19 21:00:00+0000,2021-08-19 21:00:00+0000,0,
2021-08-22,0,0,0,2021-08-20 21:00:00+0000,2021-08-20 21:00:00+0000,0,
2021-08-23,0,0,0,2021-08-21 21:00:00+0000,2021-08-21 21:00:00+0000,0,
2021-08-24,0,0,0,2021-08-22 21:00:00+0000,2021-08-22 21:00:00+0000,0,
2021-08-25,0,0,0,2021-08-23 21:00:00+0000,2021-08-23 21:00:00+0000,0,
2021-08-26,0,0,0,2021-08-24 21:00:00+0000,2021-08-24 21:00:00+0000,0,
2021-08-27,0,0,0,2021-08-25 21:00:00+0000,2021-08-25 21:00:00+0000,0,
2021-08-28,0,0,0,2021-08-26 21:00:00+0000,2021-08-26 21:00:00+0000,0,
2021-08-29,0,0,0,2021-08-27 21:00:00+0000,2021-08-27 21:00:00+0000,0,
2021-08-30,0,0,0,2021-08-28 21:00:00+0000,2021-08-28 21:00:00+0000,0,
2021-08-31,0,0,0,2021-08-29 21:00:00+0000,2021-08-29 21:00:00+0000,0,
2021-09-01,0,0,0,2021-08-30 21:00:00+0000,2021-08-30 21:00:00+0000,0,
2021-09-02,0,0,0,2021-08-31 21:00:00+0000,2021-08-31 21:00:00+0000,0,
2021-09-03,0,0,0,2021-09-01 21:00:00+0000,2021-09-01 21:00:00+0000,0,
2021-09-04,0,0,0,2021-09-02 21:00:00+0000,2021-09-02 21:00:00+0000,0,
2021-09-05,0,0,0,2021-09-03 21:00:00+0000,2021-09-03 21:00:00+0000,0,
2021-09-06,0,0,0,2021-09-04 21:00:00+0000,2021-09-04 21:00:00+0000,0,
2021-09-07,0,0,0,2021-09-05 21:00:00+0000,2021-09-05 21:00:00+0000,0,
2021-09-08,0,0,0,2021-09-06 21:00:00+0000,2021-09-06 21:00:00+0000,0,
2021-09-09,0,0,0,2021-09-07 21:00:00+0000,2021-09-07 21:00:00+0000,0,
2021-09-10,0,0,0,2021-09-08 21:00:00+0000,2021-09-08 21:00:00+0000,0,
2021-09-11,0,0,0,2021-09-09 21:00:00+0000,2021-09-09 21:00:00+0000,0,
2021-09-12,0,0,0,2021-09-10 21:00:00+0000,2021-09-10 21:00:00+0000,0,
2021-09-13,0,0,0,2021-09-11 21:00:00+0000,2021-09-11 21:00:00+0000,0,
2021-09-14,0,0,0,2021-09-12 21:00:00+0000,2021-09-12 21:00:00+0000,0,
2021-09-15,0,0,0,2021-09-13 21:00:00+0000,2021-09-13 21:00:00+0000,0,
2021-09-16,0,0,0,2021-09-14 21:00:00+0000,2021-09-14 21:00:00+0000,0,
2021-09-17,0,0,0,2021-09-15 21:00:00+0000,2021-09-15 21:00:00+0000,0,
2021-09-18,0,0,0,2021-09-16 21:00:00+0000,2021-09-16 21:00:00+0000,0,
2021-09-19,0,0,0,2021-09-17 21:00:00+0000,2021-09-17 21:00:00+0000,0,
2021-09-20,0,0,0,2021-09-18 21:00:00+0000,2021-09-18 21:00:00+0000,0,
2021-09-21,0,0,0,2021-09-19 21:00:00+0000,2021-09-19 21:00:00+0000,0,
2021-09-22,0,0,0,2021-09-20 21:00:00+0000,2021-09-20 21:00:00+0000,0,
2021-09-23,129,251,0,2021-09-22 20:14:00+0000,2021-09-23 02:34:00+0000,0,
2021-09-24,100,333,7,2021-09-23 21:56:00+0000,2021-09-24 05:16:00+0000,0,
2021-09-25,0,93,0,2021-09-24 19:38:00+0000,2021-09-24 21:11:00+0000,0,
2021-09-26,0,0,0,2021-09-24 21:00:00+0000,2021-09-24 21:00:00+0000,0,
2021-09-27,0,0,0,2021-09-25 21:00:00+0000,2021-09-25 21:00:00+0000,0,
2021-09-28,0,0,0,2021-09-26 21:00:00+0000,2021-09-26 21:00:00+0000,0,
2021-09-29,0,0,0,2021-09-27 21:00:00+0000,2021-09-27 21:00:00+0000,0,
2021-09-30,0,0,0,2021-09-28 21:00:00+0000,2021-09-28 21:00:00+0000,0,
2021-10-01,0,0,0,2021-09-29 21:00:00+0000,2021-09-29 21:00:00+0000,0,
2021-10-02,0,0,0,2021-09-30 21:00:00+0000,2021-09-30 21:00:00+0000,0,
2021-10-03,0,0,0,2021-10-01 21:00:00+0000,2021-10-01 21:00:00+0000,0,
2021-10-04,0,0,0,2021-10-02 21:00:00+0000,2021-10-02 21:00:00+0000,0,
2021-10-05,0,0,0,2021-10-03 21:00:00+0000,2021-10-03 21:00:00+0000,0,
2021-10-06,0,0,0,2021-10-04 21:00:00+0000,2021-10-04 21:00:00+0000,0,
2021-10-07,0,0,0,2021-10-05 21:00:00+0000,2021-10-05 21:00:00+0000,0,
2021-10-08,0,0,0,2021-10-06 21:00:00+0000,2021-10-06 21:00:00+0000,0,
2021-10-09,0,0,0,2021-10-07 21:00:00+0000,2021-10-07 21:00:00+0000,0,
2021-10-10,0,0,0,2021-10-08 21:00:00+0000,2021-10-08 21:00:00+0000,0,
2021-10-11,0,0,0,2021-10-09 21:00:00+0000,2021-10-09 21:00:00+0000,0,
2021-10-12,0,0,0,2021-10-10 21:00:00+0000,2021-10-10 21:00:00+0000,0,
2021-10-13,0,0,0,2021-10-11 21:00:00+0000,2021-10-11 21:00:00+0000,0,
